root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.989972,-1.833171,0.470702,0.046548,0.038922,-0.75184,0.656548,-0.30741,0.091648,0.33018,0.449351,-0.268074,0.0,-0.320342,-0.097048,-0.34075,0.428425,-0.305085,0.0,-0.018215,-0.026096,1.865977,0.319638,-0.483331,0.091228,-0.388897,-1.614233,-0.232453,-0.613659,0.309466
0.989414,-1.833591,0.470549,0.045765,0.037559,-0.75139,0.657197,-0.303916,0.091252,0.328782,0.450025,-0.26877,0.0,-0.317083,-0.097821,-0.341647,0.431487,-0.308271,0.0,-0.019491,-0.026099,1.868132,0.319082,-0.481858,0.093747,-0.392033,-1.618708,-0.231563,-0.610978,0.306092
0.98875,-1.834074,0.470351,0.044704,0.036185,-0.751094,0.657686,-0.29996,0.091465,0.32758,0.450898,-0.269681,0.0,-0.313405,-0.098024,-0.34216,0.43484,-0.311705,0.0,-0.020525,-0.030821,1.868688,0.319698,-0.481423,0.095209,-0.394073,-1.62328,-0.232751,-0.609794,0.301586
0.988016,-1.834512,0.470063,0.043654,0.034892,-0.75086,0.658093,-0.296743,0.092156,0.326466,0.452828,-0.270945,0.0,-0.310502,-0.098157,-0.342468,0.439503,-0.31569,0.0,-0.021044,-0.036927,1.869208,0.321075,-0.483167,0.092618,-0.39799,-1.627338,-0.235299,-0.609833,0.29594
0.987181,-1.834869,0.469682,0.04276,0.033876,-0.750583,0.65852,-0.295185,0.09362,0.32533,0.456462,-0.272677,0.0,-0.309104,-0.09821,-0.342928,0.445999,-0.320535,0.0,-0.021159,-0.044019,1.869707,0.323572,-0.4867,0.085941,-0.403405,-1.630871,-0.237679,-0.610704,0.292675
0.986244,-1.835169,0.469235,0.041883,0.033113,-0.750001,0.659278,-0.295379,0.095872,0.323267,0.462326,-0.275061,0.0,-0.308437,-0.09794,-0.343825,0.453662,-0.326155,0.0,-0.021786,-0.05037,1.870019,0.326933,-0.491425,0.078694,-0.409357,-1.633805,-0.240166,-0.612642,0.291182
0.985205,-1.835432,0.468802,0.040958,0.032454,-0.749184,0.660297,-0.296527,0.098739,0.320659,0.469506,-0.277724,0.0,-0.307575,-0.097327,-0.345388,0.461128,-0.331971,0.0,-0.022945,-0.056681,1.868633,0.330984,-0.497751,0.070724,-0.414206,-1.636586,-0.24306,-0.614911,0.290857
0.984096,-1.83568,0.468407,0.039901,0.031794,-0.748437,0.66124,-0.29783,0.102037,0.318025,0.477261,-0.280342,0.0,-0.306124,-0.096222,-0.346991,0.467747,-0.337509,0.0,-0.023834,-0.061309,1.865913,0.33551,-0.504796,0.062375,-0.416516,-1.63871,-0.246286,-0.616356,0.288685
0.98292,-1.835885,0.46809,0.038831,0.031203,-0.74779,0.662064,-0.299463,0.105654,0.315436,0.485366,-0.282455,0.0,-0.304433,-0.094608,-0.348369,0.473477,-0.342622,0.0,-0.024462,-0.063929,1.862454,0.339388,-0.5117,0.05351,-0.4184,-1.639131,-0.248139,-0.616356,0.286555
0.981654,-1.835999,0.467851,0.037846,0.03086,-0.747026,0.662999,-0.301722,0.109642,0.312514,0.493271,-0.284058,0.0,-0.302532,-0.092248,-0.349931,0.477671,-0.347089,0.0,-0.025641,-0.06517,1.859061,0.342403,-0.517416,0.046025,-0.420987,-1.638078,-0.249286,-0.617162,0.284976
0.98029,-1.836045,0.467676,0.036838,0.030638,-0.746215,0.663979,-0.304119,0.11401,0.309559,0.500684,-0.28503,0.0,-0.300091,-0.089249,-0.351868,0.480177,-0.350737,0.0,-0.027383,-0.065368,1.856295,0.34452,-0.52094,0.040253,-0.422702,-1.63612,-0.249878,-0.619108,0.284611
0.978846,-1.836009,0.467626,0.035882,0.030545,-0.746058,0.664212,-0.305585,0.118612,0.30792,0.505967,-0.284993,0.0,-0.297209,-0.085303,-0.352861,0.480269,-0.353104,0.0,-0.027686,-0.065475,1.853765,0.345978,-0.522205,0.036225,-0.422487,-1.633677,-0.250602,-0.621751,0.285102
0.977291,-1.835882,0.467713,0.034948,0.03059,-0.746236,0.664059,-0.306142,0.123498,0.307182,0.508861,-0.283714,0.0,-0.293729,-0.08042,-0.353429,0.477861,-0.354158,0.0,-0.027604,-0.065733,1.85046,0.346819,-0.52227,0.03555,-0.421216,-1.629905,-0.251217,-0.624667,0.286124
0.975623,-1.835686,0.46783,0.033972,0.030765,-0.746679,0.663604,-0.306019,0.128689,0.306857,0.510085,-0.281583,0.0,-0.28982,-0.074663,-0.353586,0.473777,-0.354641,0.0,-0.026927,-0.06664,1.847057,0.347085,-0.52213,0.034558,-0.420399,-1.625366,-0.252406,-0.62807,0.286521
0.973895,-1.835427,0.467991,0.033039,0.030947,-0.747611,0.662592,-0.304978,0.133802,0.307216,0.509679,-0.278935,0.0,-0.285805,-0.068295,-0.352459,0.468707,-0.354603,0.0,-0.024918,-0.067294,1.842843,0.347009,-0.522412,0.032872,-0.420064,-1.620618,-0.253589,-0.631233,0.287272
0.97209,-1.835058,0.468149,0.032219,0.031193,-0.748421,0.661706,-0.303978,0.138896,0.307606,0.508155,-0.275879,0.0,-0.2819,-0.061738,-0.351515,0.462997,-0.354201,0.0,-0.023405,-0.066919,1.838985,0.347766,-0.523146,0.032927,-0.419926,-1.615885,-0.25488,-0.633715,0.287143
0.970175,-1.834525,0.468283,0.031511,0.03168,-0.74853,0.661594,-0.304242,0.144293,0.306988,0.506287,-0.272531,0.0,-0.278223,-0.055079,-0.35239,0.456804,-0.353612,0.0,-0.024171,-0.066369,1.835449,0.348791,-0.524118,0.032919,-0.419635,-1.611361,-0.256605,-0.636356,0.286203
0.96816,-1.833866,0.468444,0.030876,0.032401,-0.748095,0.662081,-0.305846,0.149927,0.304968,0.504661,-0.268231,0.0,-0.274553,-0.048099,-0.354628,0.449814,-0.352776,0.0,-0.026603,-0.066491,1.831812,0.349927,-0.525372,0.032423,-0.419647,-1.606687,-0.258379,-0.639203,0.286234
0.966084,-1.8331,0.468649,0.030212,0.033362,-0.747363,0.662889,-0.308157,0.155862,0.301947,0.502704,-0.263368,0.0,-0.270821,-0.040547,-0.357574,0.441989,-0.351602,0.0,-0.029878,-0.066628,1.828501,0.350859,-0.526844,0.030744,-0.421107,-1.60075,-0.259338,-0.641257,0.28724
0.963976,-1.832254,0.468874,0.029571,0.034501,-0.746595,0.663725,-0.310555,0.16194,0.298762,0.499793,-0.25833,0.0,-0.267251,-0.032566,-0.360623,0.433564,-0.350099,0.0,-0.033204,-0.067209,1.825271,0.351959,-0.528479,0.029785,-0.42327,-1.594402,-0.259306,-0.642231,0.288414
0.96186,-1.831339,0.469109,0.029006,0.035846,-0.745931,0.664425,-0.31296,0.168119,0.295811,0.49584,-0.252931,0.0,-0.264079,-0.024138,-0.363426,0.424554,-0.348283,0.0,-0.03606,-0.069045,1.821863,0.353083,-0.530481,0.02886,-0.424279,-1.588926,-0.259364,-0.6422,0.287259
0.959772,-1.830356,0.469311,0.028651,0.037457,-0.745379,0.66497,-0.315838,0.174339,0.293126,0.491271,-0.247307,0.0,-0.261823,-0.015609,-0.365833,0.415467,-0.346093,0.0,-0.038356,-0.072411,1.818449,0.354614,-0.533217,0.026017,-0.424705,-1.584826,-0.259952,-0.641566,0.284727
